year,municipality,township,perfecture,treated_municipalities,treatment_year,gdvotes,valid_votes,syriza_votes,pasok_votes,turnout
2013,Ελαφονήσου,Ελαφονήσου,Λακωνίας,0,0,7.321428571428572,560,103,101,0.4886561954624782
2015,Ελαφονήσου,Ελαφονήσου,Λακωνίας,0,0,5.688073394495413,545,190,70,0.45041322314049587
2016,Ελαφονήσου,Ελαφονήσου,Λακωνίας,0,1,7.8244274809160315,524,173,75,0.4334160463192721
2012,Ερέτριας,Αμαρυνθίων,Ευβοιας,0,0,10.039370078740157,9144,1583,951,0.6984951493392407
2013,Ερέτριας,Αμαρυνθίων,Ευβοιας,0,0,9.902091677792612,8988,2540,830,0.6863164324984729
2015,Ερέτριας,Αμαρυνθίων,Ευβοιας,0,0,8.684446436575527,8924,3297,397,0.6846183352512466
2016,Ερέτριας,Αμαρυνθίων,Ευβοιας,0,1,9.561247780877505,7886,3002,400,0.6041060211429446
2012,Ζακύνθου,Αλυκών,Ζακύνθου,0,0,6.1007268951194185,23112,3696,3626,0.5502595114518356
2013,Ζακύνθου,Αλυκών,Ζακύνθου,0,0,5.526868545422721,22852,7963,2676,0.5457324354014425
2015,Ζακύνθου,Αλυκών,Ζακύνθου,0,0,4.752182789626862,23021,9934,888,0.5541220363461307
2016,Ζακύνθου,Αλυκών,Ζακύνθου,0,1,6.749429946795034,19735,7139,1278,0.4757829263000555
2012,Ηρακλείου,Γοργολαϊνη,Ηρακλείου,0,0,2.58444018566317,90271,16765,13143,0.728021291181096
2013,Ηρακλείου,Γοργολαϊνη,Ηρακλείου,0,0,3.332914816632614,87611,32851,12094,0.706221383891146
2015,Ηρακλείου,Γοργολαϊνη,Ηρακλείου,0,0,2.7579424944405333,89487,44795,4377,0.7241571851684011
2016,Ηρακλείου,Γοργολαϊνη,Ηρακλείου,0,1,3.7224334600760454,78900,37197,5709,0.6335313955355709
2012,Θάσου,Θάσου,Καβάλας,0,0,6.505190311418685,8670,1462,1066,0.6217282179992829
2013,Θάσου,Θάσου,Καβάλας,0,0,5.390804597701149,8700,2264,1037,0.6239242685025818
2015,Θάσου,Θάσου,Καβάλας,0,0,6.156284286236743,8203,2799,419,0.5971898660454281
2016,Θάσου,Θάσου,Καβάλας,0,1,5.953177257525084,7475,2493,478,0.5463382546411344
2012,Θήρας,Θήρας,Κυκλάδων,0,0,10.51699716713881,8472,710,904,0.623629002576371
2013,Θήρας,Θήρας,Κυκλάδων,0,0,6.858951811466761,8529,1731,940,0.6264414248990084
2015,Θήρας,Θήρας,Κυκλάδων,0,0,6.9831355402873205,8005,2261,412,0.5739174075136221
2016,Θήρας,Θήρας,Κυκλάδων,0,1,7.894392889818325,7651,2565,456,0.5422779785952229
2012,Ιεράπετρας,Ιεράπετρας,Λασιθίου,0,0,2.701080432172869,14994,2147,3722,0.6501322464553614
2013,Ιεράπετρας,Ιεράπετρας,Λασιθίου,0,0,2.3321023115852824,14622,4246,3561,0.6394926743931774
2015,Ιεράπετρας,Ιεράπετρας,Λασιθίου,0,0,2.6831287074079184,14498,6797,874,0.6401165614375911
2016,Ιεράπετρας,Ιεράπετρας,Λασιθίου,0,1,3.8636545062664647,12527,4900,1520,0.5574492702029192
2012,Ιητών,Ιητών,Κυκλάδων,0,0,6.877323420074349,1076,162,94,0.477797513321492
2013,Ιητών,Ιητών,Κυκλάδων,0,0,4.63871543264942,1121,259,93,0.4859124403987863
2015,Ιητών,Ιητών,Κυκλάδων,0,0,3.5676810073452256,953,342,33,0.41398783666377065
2016,Ιητών,Ιητών,Κυκλάδων,0,1,5.187637969094923,906,317,59,0.39374185136897
2012,Ιθάκης,Ιθάκης,Κεφαλληνίας,0,0,9.221311475409836,1952,415,214,0.3514584083543392
2013,Ιθάκης,Ιθάκης,Κεφαλληνίας,0,0,6.446776611694154,2001,535,232,0.36210640608034744
2015,Ιθάκης,Ιθάκης,Κεφαλληνίας,0,0,3.951367781155015,1645,646,105,0.2990909090909091
2016,Ιθάκης,Ιθάκης,Κεφαλληνίας,0,1,5.100182149362477,1647,528,103,0.30292440684200844
2012,Ικαρίας ,Αγίου Κηρύκου,Σάμου,0,0,2.390766694146744,6065,1231,473,0.5308998599439776
2013,Ικαρίας ,Αγίου Κηρύκου,Σάμου,0,0,2.924745317121262,6086,1909,440,0.5392999556933983
2015,Ικαρίας ,Αγίου Κηρύκου,Σάμου,0,0,2.6579827495159303,5681,2211,134,0.4995163984876462
2016,Ικαρίας ,Αγίου Κηρύκου,Σάμου,0,1,2.8835884656461372,5618,1485,263,0.49476001761338617
2012,Ιστιαίας - Αιδηψού,Αιδηψού,Ευβοιας,0,0,7.787681790764695,14921,2289,2180,0.6285702249557671
2013,Ιστιαίας - Αιδηψού,Αιδηψού,Ευβοιας,0,0,7.927952514157058,14657,3968,2011,0.6167992256869924
2015,Ιστιαίας - Αιδηψού,Αιδηψού,Ευβοιας,0,0,6.546340065893139,13962,5336,702,0.6070962692408035
2016,Ιστιαίας - Αιδηψού,Αιδηψού,Ευβοιας,0,1,7.956216304525404,12242,4415,911,0.5347953344109039
2012,Κάσου,Κάσου,Δωδεκανήσου,0,0,4.301075268817205,651,33,171,0.3600663716814159
2013,Κάσου,Κάσου,Δωδεκανήσου,0,0,4.539007092198582,705,87,178,0.3873626373626374
2015,Κάσου,Κάσου,Δωδεκανήσου,0,0,3.1746031746031744,567,80,108,0.30434782608695654
2016,Κάσου,Κάσου,Δωδεκανήσου,0,1,4.769475357710652,629,138,133,0.35337078651685394
2012,Κέας,Κέας,Κυκλάδων,0,0,5.805515239477503,1378,305,184,0.5680131904369332
2013,Κέας,Κέας,Κυκλάδων,0,0,4.68509984639017,1302,320,197,0.5409223099293726
2015,Κέας,Κέας,Κυκλάδων,0,0,3.830480847595762,1227,472,79,0.5190355329949239
2016,Κέας,Κέας,Κυκλάδων,0,1,4.5639771801141,1227,430,101,0.5151133501259446
2012,Κέρκυρας,Αγίου Γεωργίου,Κέρκυρας,0,0,7.323029573129934,59784,11554,7062,0.5691166811046484
2013,Κέρκυρας,Αγίου Γεωργίου,Κέρκυρας,0,0,6.612438569733943,59010,20251,6179,0.5624499599679744
2015,Κέρκυρας,Αγίου Γεωργίου,Κέρκυρας,0,0,5.743391884116831,59094,26598,2278,0.5561631201001384
2016,Κέρκυρας,Αγίου Γεωργίου,Κέρκυρας,0,1,7.659566159673546,51217,20873,2895,0.47986096146458923
2012,Καλυμνίων,Καλυμνίων,Δωδεκανήσου,1,0,3.8641425389755013,8980,745,1319,0.42660332541567697
2013,Καλυμνίων,Καλυμνίων,Δωδεκανήσου,1,0,3.730747290359384,8765,1734,1295,0.4147345509605375
2015,Καλυμνίων,Καλυμνίων,Δωδεκανήσου,1,0,3.8383382253330325,8858,2351,504,0.4179681970461945
2016,Καλυμνίων,Καλυμνίων,Δωδεκανήσου,1,1,6.010852928899402,7187,2840,497,0.33928149931548884
2012,Καντάνου - Σελίνου,Ανατολικού Σελίνου,Χανίων,0,0,3.6931818181818183,4224,647,897,0.6006825938566553
2013,Καντάνου - Σελίνου,Ανατολικού Σελίνου,Χανίων,0,0,3.9525691699604746,4048,1230,877,0.568140350877193
2015,Καντάνου - Σελίνου,Ανατολικού Σελίνου,Χανίων,0,0,3.1663638723072927,3853,1589,141,0.551058352402746
2016,Καντάνου - Σελίνου,Ανατολικού Σελίνου,Χανίων,0,1,5.473926822241429,3471,1335,296,0.4982773471145564
2012,Καρπάθου,Καρπάθου,Δωδεκανήσου,0,0,6.760563380281689,3550,345,758,0.4163246159258825
2013,Καρπάθου,Καρπάθου,Δωδεκανήσου,0,0,6.395827614603348,3643,711,803,0.42563383572847296
2015,Καρπάθου,Καρπάθου,Δωδεκανήσου,0,0,6.458868894601542,3112,890,271,0.3676314235085647
2016,Καρπάθου,Καρπάθου,Δωδεκανήσου,0,1,7.18093446221386,3189,887,340,0.3872025254978145
2012,Καρύστου,Καρύστου,Ευβοιας,0,0,10.468409586056644,9180,1189,982,0.5723905723905723
2013,Καρύστου,Καρύστου,Ευβοιας,0,0,10.142430507695842,8706,2074,807,0.5431405577390979
2015,Καρύστου,Καρύστου,Ευβοιας,0,0,8.702362578653686,8423,3163,319,0.5270963704630789
2016,Καρύστου,Καρύστου,Ευβοιας,0,1,9.889962426194309,7452,2597,332,0.46838466373350096
2012,Κεφαλονιάς,Αργοστολίου,Κεφαλληνίας,0,0,7.888052463861821,21653,4070,2525,0.43461592501154134
2013,Κεφαλονιάς,Αργοστολίου,Κεφαλληνίας,0,0,7.853945818610129,21225,6687,2103,0.4268219111969112
2015,Κεφαλονιάς,Αργοστολίου,Κεφαλληνίας,0,0,6.268257662029014,20197,7805,849,0.4005990043041038
2016,Κεφαλονιάς,Αργοστολίου,Κεφαλληνίας,0,1,7.685779451546174,18853,6502,1058,0.37448355315429843
2012,Κιμώλου,Κιμώλου,Κυκλάδων,0,0,4.35967302452316,734,164,108,0.49294828744123576
2013,Κιμώλου,Κιμώλου,Κυκλάδων,0,0,3.212290502793296,716,182,118,0.4738583719391132
2015,Κιμώλου,Κιμώλου,Κυκλάδων,0,0,1.9083969465648856,524,162,30,0.35549525101763907
2016,Κιμώλου,Κιμώλου,Κυκλάδων,0,1,4.341534008683068,691,251,48,0.45944148936170215
2012,Κισσάμου,Ινναχωρίου,Χανίων,0,0,4.350417163289631,8390,1091,1294,0.6468774094063223
